label	count
(0/0)	1
task_comp_all	1
Corresponding rewards for players with corresponding rankings	1
Manage Payments	1
My Bank Accounts	1
Verify New Bank Account	1
My UPAY Wallet Address	1
My E-Wallets	1
My Wallets UPI ID	1
Verify New UPI ID	1
My Wallets USDT Address	1
Verify New USDT(TRC20) Address	1
My BGCASH Wallet Address	1
UID：	1
235656	1
Chat with us in any of the following ways	1
Games Ideas & Bugs Report	1
You can also follow us on social media	1
YONO Games	1
11	1
About Betting Cash back	1
About Betting Cash backKey	1
Current Balance	1
200	1
Payment Method	1
UPI 01	1
+5%	1
Deposit min:200 & max:100000 allowed each time	1
EVENT_JH_T171	1
DEPOSIT NOW	1
Go to get	1
Select withdrawal method	1
Withdraw to BANK	1
1000	1
2020-01-01	1
:	1
Receive	1
Português	1
Español	1
Indonesian	1
اردو	1
Tagalog	1
বাংলা	1
Crash	1
Play Now	1
Type	1
Random & Provably Fair	1
Current Jackpot	1
Draw In:	1
My Lotto Tickets:	1
View Jackpot	1
No Games Found	1
View All Games	1
TOP	1
!	1
Share_link_text	1
Feedback Now	1
luckyspin_tip2	1
+1	1
Input Payment PIN	1
Please enter your 6-digit Payment PIN to confirm withdrawal.	1
Reset Login Password	1
New Password	1
Enter your new login password	1
领取全部	1
Upload what happened	1
My Transactions	1
willcredited	1
FG2310075895320005	1
Amount: 1	1
08:01 am	1
WIN：1000	1
123	1
Resolved	1
Reason_lbl	1
X122	1
trans_nodata_hit	1
Your network has been disconnected, please reconnect	1
139,966	1
luckSpin_wtype1	1
luckSpin_wtype2	1
luckSpin_wtype3	1
luckSpin_wtype4	1
Create_Payment_PIN_tip	1
Confirm_Payment_PIN_tip	1
These answers will help you reset your Payment PIN if you forget it.	1
1.What is your birth YEAR?	1
2.What is your birth DAY?	1
3.What is your lucky number between 0 to 99?	1
Bonus_unfreze_tit	1
Slot	1
Fishing	1
Bonus_unfreze_rule	1
No more data!	1
View details	1
UPI ID/Account number	1
    You have not logged in for 59 days.	1
Thank you for coming back, please	1
accept our gift!	1
Ends in	1
Extra	1
Cash	1
Total Get	1
+	1
=	1
Other amount >>	1
