index	subject	issuer	serial	not_before	not_after	sha256_fingerprint	der_sha256
086.pem	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 2 G3	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 2 G3	445734245B81899B35F2CEB82B3B5BA726F07528	Jan 12 18:59:32 2012 GMT	Jan 12 18:59:32 2042 GMT	8F:E4:FB:0A:F9:3A:4D:0D:67:DB:0B:EB:B2:3E:37:C7:1B:F3:25:DC:BC:DD:24:0E:A0:4D:AF:58:B4:7E:18:40	8fe4fb0af93a4d0d67db0bebb23e37c71bf325dcbcdd240ea04daf58b47e1840
087.pem	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 3 G3	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 3 G3	2EF59B0228A7DB7AFFD5A3A9EEBD03A0CF126A1D	Jan 12 20:26:32 2012 GMT	Jan 12 20:26:32 2042 GMT	88:EF:81:DE:20:2E:B0:18:45:2E:43:F8:64:72:5C:EA:5F:BD:1F:C2:D9:D2:05:73:07:09:C5:D8:B8:69:0F:46	88ef81de202eb018452e43f864725cea5fbd1fc2d9d205730709c5d8b8690f46
088.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Assured ID Root G2	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Assured ID Root G2	0B931C3AD63967EA6723BFC3AF9AF44B	Aug  1 12:00:00 2013 GMT	Jan 15 12:00:00 2038 GMT	7D:05:EB:B6:82:33:9F:8C:94:51:EE:09:4E:EB:FE:FA:79:53:A1:14:ED:B2:F4:49:49:45:2F:AB:7D:2F:C1:85	7d05ebb682339f8c9451ee094eebfefa7953a114edb2f44949452fab7d2fc185
089.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Assured ID Root G3	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Assured ID Root G3	0BA15AFA1DDFA0B54944AFCD24A06CEC	Aug  1 12:00:00 2013 GMT	Jan 15 12:00:00 2038 GMT	7E:37:CB:8B:4C:47:09:0C:AB:36:55:1B:A6:F4:5D:B8:40:68:0F:BA:16:6A:95:2D:B1:00:71:7F:43:05:3F:C2	7e37cb8b4c47090cab36551ba6f45db840680fba166a952db100717f43053fc2
090.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Global Root G2	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Global Root G2	033AF1E6A711A9A0BB2864B11D09FAE5	Aug  1 12:00:00 2013 GMT	Jan 15 12:00:00 2038 GMT	CB:3C:CB:B7:60:31:E5:E0:13:8F:8D:D3:9A:23:F9:DE:47:FF:C3:5E:43:C1:14:4C:EA:27:D4:6A:5A:B1:CB:5F	cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f
091.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Global Root G3	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Global Root G3	055556BCF25EA43535C3A40FD5AB4572	Aug  1 12:00:00 2013 GMT	Jan 15 12:00:00 2038 GMT	31:AD:66:48:F8:10:41:38:C7:38:F3:9E:A4:32:01:33:39:3E:3A:18:CC:02:29:6E:F9:7C:2A:C9:EF:67:31:D0	31ad6648f8104138c738f39ea4320133393e3a18cc02296ef97c2ac9ef6731d0
092.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Trusted Root G4	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Trusted Root G4	059B1B579E8E2132E23907BDA777755C	Aug  1 12:00:00 2013 GMT	Jan 15 12:00:00 2038 GMT	55:2F:7B:DC:F1:A7:AF:9E:6C:E6:72:01:7F:4F:12:AB:F7:72:40:C7:8E:76:1A:C2:03:D1:D9:D2:0A:C8:99:88	552f7bdcf1a7af9e6ce672017f4f12abf77240c78e761ac203d1d9d20ac89988
093.pem	C = GB, ST = Greater Manchester, L = Salford, O = COMODO CA Limited, CN = COMODO RSA Certification Authority	C = GB, ST = Greater Manchester, L = Salford, O = COMODO CA Limited, CN = COMODO RSA Certification Authority	4CAAF9CADB636FE01FF74ED85B03869D	Jan 19 00:00:00 2010 GMT	Jan 18 23:59:59 2038 GMT	52:F0:E1:C4:E5:8E:C6:29:29:1B:60:31:7F:07:46:71:B8:5D:7E:A8:0D:5B:07:27:34:63:53:4B:32:B4:02:34	52f0e1c4e58ec629291b60317f074671b85d7ea80d5b07273463534b32b40234
094.pem	C = US, ST = New Jersey, L = Jersey City, O = The USERTRUST Network, CN = USERTrust RSA Certification Authority	C = US, ST = New Jersey, L = Jersey City, O = The USERTRUST Network, CN = USERTrust RSA Certification Authority	01FD6D30FCA3CA51A81BBC640E35032D	Feb  1 00:00:00 2010 GMT	Jan 18 23:59:59 2038 GMT	E7:93:C9:B0:2F:D8:AA:13:E2:1C:31:22:8A:CC:B0:81:19:64:3B:74:9C:89:89:64:B1:74:6D:46:C3:D4:CB:D2	e793c9b02fd8aa13e21c31228accb08119643b749c898964b1746d46c3d4cbd2
095.pem	C = US, ST = New Jersey, L = Jersey City, O = The USERTRUST Network, CN = USERTrust ECC Certification Authority	C = US, ST = New Jersey, L = Jersey City, O = The USERTRUST Network, CN = USERTrust ECC Certification Authority	5C8B99C55A94C5D27156DECD8980CC26	Feb  1 00:00:00 2010 GMT	Jan 18 23:59:59 2038 GMT	4F:F4:60:D5:4B:9C:86:DA:BF:BC:FC:57:12:E0:40:0D:2B:ED:3F:BC:4D:4F:BD:AA:86:E0:6A:DC:D2:A9:AD:7A	4ff460d54b9c86dabfbcfc5712e0400d2bed3fbc4d4fbdaa86e06adcd2a9ad7a
096.pem	OU = GlobalSign ECC Root CA - R4, O = GlobalSign, CN = GlobalSign	OU = GlobalSign ECC Root CA - R4, O = GlobalSign, CN = GlobalSign	2A38A41C960A04DE42B228A50BE8349802	Nov 13 00:00:00 2012 GMT	Jan 19 03:14:07 2038 GMT	BE:C9:49:11:C2:95:56:76:DB:6C:0A:55:09:86:D7:6E:3B:A0:05:66:7C:44:2C:97:62:B4:FB:B7:73:DE:22:8C	bec94911c2955676db6c0a550986d76e3ba005667c442c9762b4fbb773de228c
097.pem	OU = GlobalSign ECC Root CA - R5, O = GlobalSign, CN = GlobalSign	OU = GlobalSign ECC Root CA - R5, O = GlobalSign, CN = GlobalSign	605949E0262EBB55F90A778A71F94AD86C	Nov 13 00:00:00 2012 GMT	Jan 19 03:14:07 2038 GMT	17:9F:BC:14:8A:3D:D0:0F:D2:4E:A1:34:58:CC:43:BF:A7:F5:9C:81:82:D7:83:A5:13:F6:EB:EC:10:0C:89:24	179fbc148a3dd00fd24ea13458cc43bfa7f59c8182d783a513f6ebec100c8924
098.pem	C = NL, O = Staat der Nederlanden, CN = Staat der Nederlanden Root CA - G3	C = NL, O = Staat der Nederlanden, CN = Staat der Nederlanden Root CA - G3	98A239	Nov 14 11:28:42 2013 GMT	Nov 13 23:00:00 2028 GMT	3C:4F:B0:B9:5A:B8:B3:00:32:F4:32:B8:6F:53:5F:E1:72:C1:85:D0:FD:39:86:58:37:CF:36:18:7F:A6:F4:28	3c4fb0b95ab8b30032f432b86f535fe172c185d0fd39865837cf36187fa6f428
099.pem	C = NL, O = Staat der Nederlanden, CN = Staat der Nederlanden EV Root CA	C = NL, O = Staat der Nederlanden, CN = Staat der Nederlanden EV Root CA	98968D	Dec  8 11:19:29 2010 GMT	Dec  8 11:10:28 2022 GMT	4D:24:91:41:4C:FE:95:67:46:EC:4C:EF:A6:CF:6F:72:E2:8A:13:29:43:2F:9D:8A:90:7A:C4:CB:5D:AD:C1:5A	4d2491414cfe956746ec4cefa6cf6f72e28a1329432f9d8a907ac4cb5dadc15a
100.pem	C = US, O = IdenTrust, CN = IdenTrust Commercial Root CA 1	C = US, O = IdenTrust, CN = IdenTrust Commercial Root CA 1	0A0142800000014523C844B500000002	Jan 16 18:12:23 2014 GMT	Jan 16 18:12:23 2034 GMT	5D:56:49:9B:E4:D2:E0:8B:CF:CA:D0:8A:3E:38:72:3D:50:50:3B:DE:70:69:48:E4:2F:55:60:30:19:E5:28:AE	5d56499be4d2e08bcfcad08a3e38723d50503bde706948e42f55603019e528ae
101.pem	C = US, O = IdenTrust, CN = IdenTrust Public Sector Root CA 1	C = US, O = IdenTrust, CN = IdenTrust Public Sector Root CA 1	0A0142800000014523CF467C00000002	Jan 16 17:53:32 2014 GMT	Jan 16 17:53:32 2034 GMT	30:D0:89:5A:9A:44:8A:26:20:91:63:55:22:D1:F5:20:10:B5:86:7A:CA:E1:2C:78:EF:95:8F:D4:F4:38:9F:2F	30d0895a9a448a262091635522d1f52010b5867acae12c78ef958fd4f4389f2f
102.pem	"C = US, O = ""Entrust, Inc."", OU = See www.entrust.net/legal-terms, OU = ""(c) 2009 Entrust, Inc. - for authorized use only"", CN = Entrust Root Certification Authority - G2"	"C = US, O = ""Entrust, Inc."", OU = See www.entrust.net/legal-terms, OU = ""(c) 2009 Entrust, Inc. - for authorized use only"", CN = Entrust Root Certification Authority - G2"	4A538C28	Jul  7 17:25:54 2009 GMT	Dec  7 17:55:54 2030 GMT	43:DF:57:74:B0:3E:7F:EF:5F:E4:0D:93:1A:7B:ED:F1:BB:2E:6B:42:73:8C:4E:6D:38:41:10:3D:3A:A7:F3:39	43df5774b03e7fef5fe40d931a7bedf1bb2e6b42738c4e6d3841103d3aa7f339
103.pem	"C = US, O = ""Entrust, Inc."", OU = See www.entrust.net/legal-terms, OU = ""(c) 2012 Entrust, Inc. - for authorized use only"", CN = Entrust Root Certification Authority - EC1"	"C = US, O = ""Entrust, Inc."", OU = See www.entrust.net/legal-terms, OU = ""(c) 2012 Entrust, Inc. - for authorized use only"", CN = Entrust Root Certification Authority - EC1"	A68B79290000000050D091F9	Dec 18 15:25:36 2012 GMT	Dec 18 15:55:36 2037 GMT	02:ED:0E:B2:8C:14:DA:45:16:5C:56:67:91:70:0D:64:51:D7:FB:56:F0:B2:AB:1D:3B:8E:B0:70:E5:6E:DF:F5	02ed0eb28c14da45165c566791700d6451d7fb56f0b2ab1d3b8eb070e56edff5
104.pem	C = CN, O = China Financial Certification Authority, CN = CFCA EV ROOT	C = CN, O = China Financial Certification Authority, CN = CFCA EV ROOT	184ACCD6	Aug  8 03:07:01 2012 GMT	Dec 31 03:07:01 2029 GMT	5C:C3:D7:8E:4E:1D:5E:45:54:7A:04:E6:87:3E:64:F9:0C:F9:53:6D:1C:CC:2E:F8:00:F3:55:C4:C5:FD:70:FD	5cc3d78e4e1d5e45547a04e6873e64f90cf9536d1ccc2ef800f355c4c5fd70fd
105.pem	C = TR, L = Ankara, O = T\C3\9CRKTRUST Bilgi \C4\B0leti\C5\9Fim ve Bili\C5\9Fim G\C3\BCvenli\C4\9Fi Hizmetleri A.\C5\9E., CN = T\C3\9CRKTRUST Elektronik Sertifika Hizmet Sa\C4\9Flay\C4\B1c\C4\B1s\C4\B1 H5	C = TR, L = Ankara, O = T\C3\9CRKTRUST Bilgi \C4\B0leti\C5\9Fim ve Bili\C5\9Fim G\C3\BCvenli\C4\9Fi Hizmetleri A.\C5\9E., CN = T\C3\9CRKTRUST Elektronik Sertifika Hizmet Sa\C4\9Flay\C4\B1c\C4\B1s\C4\B1 H5	8E17FE242081	Apr 30 08:07:01 2013 GMT	Apr 28 08:07:01 2023 GMT	49:35:1B:90:34:44:C1:85:CC:DC:5C:69:3D:24:D8:55:5C:B2:08:D6:A8:14:13:07:69:9F:4A:F0:63:19:9D:78	49351b903444c185ccdc5c693d24d8555cb208d6a8141307699f4af063199d78
106.pem	C = FR, O = Certinomis, OU = 0002 433998903, CN = Certinomis - Root CA	C = FR, O = Certinomis, OU = 0002 433998903, CN = Certinomis - Root CA	01	Oct 21 09:17:18 2013 GMT	Oct 21 09:17:18 2033 GMT	2A:99:F5:BC:11:74:B7:3C:BB:1D:62:08:84:E0:1C:34:E5:1C:CB:39:78:DA:12:5F:0E:33:26:88:83:BF:41:58	2a99f5bc1174b73cbb1d620884e01c34e51ccb3978da125f0e33268883bf4158
107.pem	C = CH, O = WISeKey, OU = OISTE Foundation Endorsed, CN = OISTE WISeKey Global Root GB CA	C = CH, O = WISeKey, OU = OISTE Foundation Endorsed, CN = OISTE WISeKey Global Root GB CA	76B1205274F0858746B3F8231AF6C2C0	Dec  1 15:00:32 2014 GMT	Dec  1 15:10:31 2039 GMT	6B:9C:08:E8:6E:B0:F7:67:CF:AD:65:CD:98:B6:21:49:E5:49:4A:67:F5:84:5E:7B:D1:ED:01:9F:27:B8:6B:D6	6b9c08e86eb0f767cfad65cd98b62149e5494a67f5845e7bd1ed019f27b86bd6
108.pem	C = PL, O = Krajowa Izba Rozliczeniowa S.A., CN = SZAFIR ROOT CA2	C = PL, O = Krajowa Izba Rozliczeniowa S.A., CN = SZAFIR ROOT CA2	3E8A5D07EC55D232D5B7E3B65F01EB2DDCE4D6E4	Oct 19 07:43:30 2015 GMT	Oct 19 07:43:30 2035 GMT	A1:33:9D:33:28:1A:0B:56:E5:57:D3:D3:2B:1C:E7:F9:36:7E:B0:94:BD:5F:A7:2A:7E:50:04:C8:DE:D7:CA:FE	a1339d33281a0b56e557d3d32b1ce7f9367eb094bd5fa72a7e5004c8ded7cafe
109.pem	C = PL, O = Unizeto Technologies S.A., OU = Certum Certification Authority, CN = Certum Trusted Network CA 2	C = PL, O = Unizeto Technologies S.A., OU = Certum Certification Authority, CN = Certum Trusted Network CA 2	21D6D04A4F250FC93237FCAA5E128DE9	Oct  6 08:39:56 2011 GMT	Oct  6 08:39:56 2046 GMT	B6:76:F2:ED:DA:E8:77:5C:D3:6C:B0:F6:3C:D1:D4:60:39:61:F4:9E:62:65:BA:01:3A:2F:03:07:B6:D0:B8:04	b676f2eddae8775cd36cb0f63cd1d4603961f49e6265ba013a2f0307b6d0b804
110.pem	C = GR, L = Athens, O = Hellenic Academic and Research Institutions Cert. Authority, CN = Hellenic Academic and Research Institutions RootCA 2015	C = GR, L = Athens, O = Hellenic Academic and Research Institutions Cert. Authority, CN = Hellenic Academic and Research Institutions RootCA 2015	00	Jul  7 10:11:21 2015 GMT	Jun 30 10:11:21 2040 GMT	A0:40:92:9A:02:CE:53:B4:AC:F4:F2:FF:C6:98:1C:E4:49:6F:75:5E:6D:45:FE:0B:2A:69:2B:CD:52:52:3F:36	a040929a02ce53b4acf4f2ffc6981ce4496f755e6d45fe0b2a692bcd52523f36
111.pem	C = GR, L = Athens, O = Hellenic Academic and Research Institutions Cert. Authority, CN = Hellenic Academic and Research Institutions ECC RootCA 2015	C = GR, L = Athens, O = Hellenic Academic and Research Institutions Cert. Authority, CN = Hellenic Academic and Research Institutions ECC RootCA 2015	00	Jul  7 10:37:12 2015 GMT	Jun 30 10:37:12 2040 GMT	44:B5:45:AA:8A:25:E6:5A:73:CA:15:DC:27:FC:36:D2:4C:1C:B9:95:3A:06:65:39:B1:15:82:DC:48:7B:48:33	44b545aa8a25e65a73ca15dc27fc36d24c1cb9953a066539b11582dc487b4833
112.pem	C = FR, O = Certplus, CN = Certplus Root CA G1	C = FR, O = Certplus, CN = Certplus Root CA G1	11205583E42D3E5456852D8337B72CDC4611	May 26 00:00:00 2014 GMT	Jan 15 00:00:00 2038 GMT	15:2A:40:2B:FC:DF:2C:D5:48:05:4D:22:75:B3:9C:7F:CA:3E:C0:97:80:78:B0:F0:EA:76:E5:61:A6:C7:43:3E	152a402bfcdf2cd548054d2275b39c7fca3ec0978078b0f0ea76e561a6c7433e
